ORIGIN,DEST,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,DISTANCE,YEAR,MONTH,CLASS
ART,LIR,B6,JetBlue Airways,1.00,159.00,142.00,0.00,2358.00,2026,2,F
PLS,ART,B6,JetBlue Airways,1.00,159.00,157.00,0.00,1421.00,2026,1,F
LIR,ART,B6,JetBlue Airways,1.00,159.00,157.00,0.00,2358.00,2026,2,F
ART,POP,AA,American Airlines Inc.,1.00,190.00,110.00,0.00,1558.00,2026,1,F
ART,CUN,AA,American Airlines Inc.,1.00,190.00,159.00,0.00,1734.00,2026,2,F
CUN,ART,AA,American Airlines Inc.,1.00,190.00,162.00,0.00,1734.00,2026,2,F
ART,POP,B6,JetBlue Airways,1.00,200.00,152.00,0.00,1558.00,2026,1,F
LIR,ART,B6,JetBlue Airways,1.00,200.00,156.00,0.00,2358.00,2026,1,F
ART,LIR,B6,JetBlue Airways,1.00,200.00,156.00,0.00,2358.00,2026,1,F
ART,PUJ,AA,American Airlines Inc.,1.00,190.00,132.00,0.00,1646.00,2026,2,F
PLS,ART,AA,American Airlines Inc.,1.00,190.00,141.00,0.00,1421.00,2026,2,F
NAS,ART,B6,JetBlue Airways,1.00,200.00,41.00,0.00,1250.00,2026,2,F
STI,ART,B6,JetBlue Airways,1.00,200.00,72.00,0.00,1582.00,2026,2,F
ART,STI,B6,JetBlue Airways,1.00,200.00,178.00,0.00,1582.00,2026,2,F
ART,PUJ,B6,JetBlue Airways,1.00,200.00,189.00,0.00,1646.00,2026,1,F
ART,NAS,B6,JetBlue Airways,1.00,200.00,192.00,0.00,1250.00,2026,2,F
ART,AUA,B6,JetBlue Airways,1.00,200.00,192.00,0.00,2057.00,2026,1,F
